"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","600","createUniqueUserTest()","","2026-08-30","passed","2026-08-30","","CreateUserTest","CreateUserTest","createUniqueUserTest"
"","450","createOrderWithoutAuthorizationTest()","","2026-08-30","passed","2026-08-30","","CreateOrderTest","CreateOrderTest","createOrderWithoutAuthorizationTest"
"","118","createOrderWithInvalidIngredientHashTest()","","2026-08-30","passed","2026-08-30","","CreateOrderTest","CreateOrderTest","createOrderWithInvalidIngredientHashTest"
"","169","changePasswordWithoutAuthorizationTest()","","2026-08-30","passed","2026-08-30","","ChangeUserTest","ChangeUserTest","changePasswordWithoutAuthorizationTest"
"","632","changeNameWithAuthorizationTest()","","2026-08-30","passed","2026-08-30","","ChangeUserTest","ChangeUserTest","changeNameWithAuthorizationTest"
"","127","changeEmailWithoutAuthorizationTest()","","2026-08-30","passed","2026-08-30","","ChangeUserTest","ChangeUserTest","changeEmailWithoutAuthorizationTest"
"","4968","changeEmailWithAuthorizationTest()","","2026-08-30","passed","2026-08-30","","ChangeUserTest","ChangeUserTest","changeEmailWithAuthorizationTest"
"","192","loginWithIncorrectCredentialsTest()","","2026-08-30","passed","2026-08-30","","LoginUserTest","LoginUserTest","loginWithIncorrectCredentialsTest"
"","104","getOrdersWithoutAuthorizationTest()","","2026-08-30","passed","2026-08-30","","GetUserOrdersTest","GetUserOrdersTest","getOrdersWithoutAuthorizationTest"
"","217","createUserWithoutRequiredFieldTest()","","2026-08-30","passed","2026-08-30","","CreateUserTest","CreateUserTest","createUserWithoutRequiredFieldTest"
"","1302","loginExistingUserTest()","","2026-08-30","passed","2026-08-30","","LoginUserTest","LoginUserTest","loginExistingUserTest"
"","494","createExistingUserTest()","","2026-08-30","passed","2026-08-30","","CreateUserTest","CreateUserTest","createExistingUserTest"
"","1390","createOrderWithAuthorizationTest()","","2026-08-30","passed","2026-08-30","","CreateOrderTest","CreateOrderTest","createOrderWithAuthorizationTest"
"","127","createOrderWithoutAuthorizationWithoutIngredientsTest()","","2026-08-30","passed","2026-08-30","","CreateOrderTest","CreateOrderTest","createOrderWithoutAuthorizationWithoutIngredientsTest"
"","453","createOrderWithAuthorizationWithoutIngredientsTest()","","2026-08-30","passed","2026-08-30","","CreateOrderTest","CreateOrderTest","createOrderWithAuthorizationWithoutIngredientsTest"
"","522","getOrdersWithAuthorizationTest()","","2026-08-30","passed","2026-08-30","","GetUserOrdersTest","GetUserOrdersTest","getOrdersWithAuthorizationTest"
"","883","changePasswordWithAuthorizationTest()","","2026-08-30","passed","2026-08-30","","ChangeUserTest","ChangeUserTest","changePasswordWithAuthorizationTest"
"","157","changeNameWithoutAuthorizationTest()","","2026-08-30","passed","2026-08-30","","ChangeUserTest","ChangeUserTest","changeNameWithoutAuthorizationTest"
